rank,layer_a,layer_b,gap,mean_kl,max_kl,median_kl,p95_kl
127,7,17,10,0.12902151001772114,0.535416675216415,0.11434917209722226,0.3275444471521945
128,9,19,10,0.13244426572210366,0.6539588736689462,0.10933976474113989,0.29962361219045086
129,6,18,12,0.1327280211952593,0.49260654262246406,0.11618647872975106,0.3880361273742431
130,6,16,10,0.13341963889598718,0.8238328765219635,0.10078414109726791,0.47825916852738465
131,10,20,10,0.13368965355198983,0.9687297858869915,0.10082082511646905,0.43227161476358994
132,4,13,9,0.1342245938304884,0.7543520610726431,0.10677078558708256,0.380127287730152
133,1,4,3,0.13494740861919408,1.0817190086476727,0.0832704835804915,0.45505162356342593
134,5,14,9,0.13537297804313136,1.0369288774659777,0.1085004016704419,0.4237839333214125
135,5,15,10,0.13550924153218233,0.6772516280055023,0.1156634077559088,0.42100666192215863
136,8,19,11,0.1362929316039507,0.7172134839963777,0.11012717830793384,0.35241898698625507
137,6,17,11,0.13636305109262303,0.5444053890735592,0.11081521414343504,0.4228992788516759
138,5,13,8,0.13771068707912482,0.7066922856594259,0.10313945758575546,0.3873026989548734
139,4,14,10,0.13988998036719177,0.9936425172599773,0.1093755666124832,0.4428578261200267
140,15,21,6,0.14097168308798708,1.3668764368433295,0.10711284319349998,0.45421716676597934
141,2,5,3,0.14447241729929564,3.423240470854072,0.05821269771545248,1.2554478484901068
142,9,20,11,0.14884282554387374,0.7537375900718671,0.1126942483044423,0.40676131961160394
143,21,23,2,0.15131515234954412,1.5278476187180952,0.11272051272666575,0.3485546652094126
144,7,19,12,0.15547175107145367,0.6658809440812227,0.13063848476640405,0.3512725863080437
145,8,20,12,0.15703694599805026,1.358087638286117,0.11671595687164049,0.5083606626705598
146,5,18,13,0.15819260616861525,0.49217622593788757,0.12914713009283982,0.39922388171522916
147,5,16,11,0.16139388093626772,0.7336838194502425,0.13171767830106057,0.39492562649819946
148,5,17,12,0.16458388313765726,0.6881881475430865,0.13120699932499855,0.41094567605230903
149,6,19,13,0.16520634052131,0.7535791883299223,0.13147583864307766,0.47111226497855246
150,18,22,4,0.16642608928402466,1.479970540248522,0.13372603676383576,0.5219113372131782
151,14,21,7,0.16943070960573797,1.3154701549732342,0.13430459934045147,0.576762720369788
152,7,20,13,0.17972045364022587,1.345126821883067,0.13998099738209419,0.541954417669615
153,13,21,8,0.19753628894350386,1.9722182825862546,0.15475273395440253,0.6215453224827204
154,4,15,11,0.19883091752436372,1.4146288438085504,0.15412806256634748,0.8359388098688819
155,6,20,14,0.1989156807179201,1.8655551285933187,0.1491772235690486,0.5217931717633372
156,3,12,9,0.20228721987852277,1.7389824159360137,0.1455262878872527,0.5765585078398265
157,3,11,8,0.20823712475922457,1.8195029986843088,0.1427173307398441,0.6819115287684795
158,5,19,14,0.2236748104095026,1.1709166114050895,0.17515113914475197,0.6607346422777388
159,12,21,9,0.22415373234565097,2.2059340776233745,0.18060178450334388,0.8031987501451437
160,17,22,5,0.2271967963126959,1.8207471107101822,0.18215738716487054,0.8308677159806725
161,20,23,3,0.23420961116524475,1.3004291633037672,0.19137802710564167,0.7215430026617683
162,2,8,6,0.25701684293601645,3.8640594430196016,0.13210291734106572,1.9027028759907962
163,11,21,10,0.2589165068685527,2.05913624225819,0.1959121118256208,0.9074790374353624
164,3,10,7,0.2833296648857687,2.0396072847236377,0.19401749219219105,1.2101645302096387
165,10,21,11,0.2898122918378176,2.337484080018653,0.23255097836160785,1.0179948955779856
166,5,20,15,0.30384503079419334,2.303537042070507,0.2188510652587992,1.1885108399599724
167,16,22,6,0.3146215300348072,2.0339073106678978,0.25069948733795716,1.481529650389884
168,3,14,11,0.3175442258562616,2.96049097113391,0.20781793131538126,1.266605927206599
169,1,8,7,0.32392177020593,2.803241353019671,0.21986198145304417,1.3516290815181353
170,4,16,12,0.33686125633653996,2.054627388466395,0.25784213345387536,1.2197900374005863
171,1,7,6,0.33704637325500175,6.037061659637654,0.19645485732025858,1.2041777721736153
172,9,21,12,0.33758440582195937,2.504351715878683,0.2633186310851189,1.5631812916544183
173,2,11,9,0.340243071911711,3.5836232529178877,0.23315235321034755,1.4158394673222872
174,1,5,4,0.34064511201812325,3.574729237820348,0.17413570500493325,2.1214777904619657
175,1,6,5,0.34264003558899947,3.687474839316367,0.1590274489880786,1.978362403823207
176,19,23,4,0.39088637753053235,2.1313007300307634,0.31672741762078543,1.3569341884448753
177,3,9,6,0.3909430223611774,3.9843462401470835,0.2511458895927538,2.1806650935402043
178,15,22,7,0.39260210436533294,2.9943952865114816,0.30977347776359904,1.5054799805916261
179,8,21,13,0.3928905882082976,3.8507290653933555,0.3050107697912012,1.7426730086281883
